prod,insp,wtcd,origin,ingr_C,ingr_extra,A_P,extra_P,duration,date_month,label
GBMD,C,F3,산천,6.9409,557.5693000000001,0.411623278918295,0.5746241446120868,92,6,1
GGMD,L,F1,창하,6.2857,2347.8747,0.0522453495470025,0.942891272569556,51,5,0
KCMD,C,F3,창하,6.0607,343.9861,0.2698549356751544,0.7058007263475388,58,5,0
GBMD,K,F3,산천,6.1705,566.2997,0.1816507048619939,0.7999261236827979,30,5,1
JJBB,K,F3,수성,6.3695,1645.8516,0.1620750912233531,0.8318011179282948,5,4,0
JJBB,Y,F2,수성,6.2429,1644.3981,0.1652809339776179,0.8285665841995737,153,4,1
KCMD,L,F1,창하,5.6788,376.25229999999993,0.4591058032850889,0.5246274296550377,66,4,1
JJBB,L,F2,수성,6.8604,1637.719,0.1924551732908136,0.8010207675076056,203,6,0
JJBB,L,F1,수성,6.2506,1640.3341,0.0731685216854972,0.9197533432392272,6,5,0
KCMD,K,F2,수성,6.324,373.7172000000001,0.5062724256730892,0.4768625749649101,8,6,0
GGMD,L,F1,오포,6.4808,2412.3478,0.051056446342122,0.9441046192621234,45,5,0
KCMD,P,F3,오포,6.6279,347.8815,0.522972497453468,0.460203325704761,25,6,0
KCMD,C,F3,수성,6.8064,381.6523,0.5043511124504043,0.4791978052332881,29,6,0
KCMD,L,F1,창하,6.7642,354.8669,0.5239997154240182,0.4590299839602628,11,6,0
KCMD,L,F3,창하,6.6967,343.9861,0.5274840296790064,0.4549539076035921,3,6,0
KCMD,C,F2,창하,5.8058,345.0132,0.26943683035257,0.70680597381845,60,5,0
JJBB,C,F3,창하,6.6994,1648.632,0.193537399778688,0.8001358933043428,56,6,0
KCMD,K,F3,수성,6.8548,379.1411000000001,0.5044802989559267,0.4786591170195307,107,6,1
GBMD,C,F2,산천,6.8979,559.4256,0.4097217124121007,0.5768106737054833,73,6,0
KCMD,Y,F2,산천,6.1441,368.2478625,0.2561421171522044,0.7171052003816794,3,5,0
KCMD,L,F2,오포,6.8383,344.01219999999995,0.5311648472761625,0.4513648052902277,107,6,0
GBMD,Y,F2,오포,6.3664,561.4014999999999,0.3679096761392447,0.6188424568442866,3,4,1
KCMD,L,F1,창하,6.0877,344.8755,0.2681035119389513,0.7074659473209157,84,5,0
GBMD,K,F3,창하,6.6161,582.594,0.3978243117597121,0.5887880502890408,23,6,0
KCMD,Y,F3,산천,6.7881,363.7962,0.5129772600933383,0.4703065168771735,10,6,0
KCMD,K,F3,오포,6.7991,354.9501,0.5168327710463788,0.4659544219383803,64,6,1
JJBB,K,F3,오포,5.7892,1644.96,0.1612920358462862,0.8328489696724217,17,4,0
KCMD,K,F3,창하,5.6239,380.3414,0.2463333205271043,0.7306108571209036,26,5,1
GBMD,P,F2,창하,6.4049,584.4164,0.349785569526466,0.6367717753710039,25,4,0
KCMD,Y,F2,수성,5.9892,372.633,0.2550741667151416,0.7225350474085278,1,5,0
KCMD,K,F3,창하,6.1695,338.2264,0.4820999837256439,0.5004015327484428,140,4,0
