prod,insp,date,buydate,ingr_A,ingr_B,ingr_C,wtcd,gram,origin,label,A_P,B_P,C_P,ingr_extra,extra_P,duration,date_month,buydate_month,buydate_season,buydate_year
GBMD,C,2023-06-18,2023-09-18,399.4063,6.4035,6.9409,F3,970.32,산천,1,0.411623278918295,0.006599369280237448,0.007153207189380823,557.5693000000001,0.5746241446120868,92,6,9,Fall,2023
GGMD,L,2023-05-18,2023-07-08,130.0951,5.8245,6.2857,F1,2490.08,창하,0,0.05224534954700251,0.0023390814752939663,0.0025242964081475298,2347.8747,0.942891272569556,51,5,7,Summer,2023
KCMD,C,2023-05-05,2023-07-02,131.5192,5.804,6.0607,F3,487.37,창하,0,0.2698549356751544,0.011908816710097051,0.012435521267209718,343.98609999999996,0.7058007263475388,58,5,7,Summer,2023
GBMD,K,2023-05-05,2023-06-04,128.5978,6.872,6.1705,F3,707.94,산천,1,0.18165070486199394,0.009707037319546852,0.008716134135661214,566.2997,0.7999261236827979,30,5,6,Summer,2023
JJBB,K,2023-04-09,2023-04-14,320.6915,5.7474,6.3695,F3,1978.66,수성,0,0.16207509122335317,0.002904693075111439,0.0032190977732404757,1645.8516,0.8318011179282948,5,4,4,Spring,2023
JJBB,Y,2023-04-24,2023-09-24,328.0215,5.9675,6.2429,F2,1984.63,수성,1,0.16528093397761798,0.003006857701435532,0.003145624121372749,1644.3981,0.8285665841995737,153,4,9,Fall,2023
KCMD,L,2023-04-20,2023-06-25,329.2615,5.9874,5.6788,F1,717.18,창하,1,0.4591058032850889,0.008348531749351629,0.007918235310521765,376.25229999999993,0.5246274296550377,66,4,6,Summer,2023
JJBB,L,2023-06-02,2023-12-22,393.4823,6.4783,6.8604,F2,2044.54,수성,0,0.1924551732908136,0.0031685855987165818,0.003355473602864214,1637.719,0.8010207675076056,203,6,12,Winter,2023
JJBB,L,2023-05-11,2023-05-17,130.4924,6.3729,6.2506,F1,1783.45,수성,0,0.07316852168549721,0.003573355014157952,0.0035047800611174972,1640.3341,0.9197533432392273,6,5,5,Spring,2023
KCMD,K,2023-06-20,2023-06-28,396.7657,6.8931,6.324,F2,783.7,수성,0,0.5062724256730892,0.008795585045297944,0.008069414316702819,373.71720000000005,0.4768625749649101,8,6,6,Summer,2023
